"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"858",1099,"Trichilia hirta",1259262512,17.2,-89.01666,"gass84,iddatunl",15096264,251,89,64,1591,315,176,139,252,245,267,228,1552,198,33,46,552,133,481,300
"859",1102,"Trichilia hirta",1439054212,18.01389,-96.20306,"cdround,gass84",14923292,250,98,56,2394,340,166,174,266,244,276,216,2942,633,51,87,1649,163,647,191
"860",1103,"Trichilia hirta",1439046093,17.64306,-99.5475,"cdround,elmms,gass84",15000971,225,140,70,1390,326,126,200,226,216,244,207,776,165,2,102,473,14,203,29
"861",1104,"Trichilia hirta",1439042439,16.50944,-92.40083,"cdround,elmms,gass84",15234423,153,132,74,1079,238,61,177,162,136,163,136,1141,211,18,74,527,60,378,60
"862",1105,"Trichilia hirta",1422262562,16.52722,-92.43472,"cdround,elmms,gass84",15234422,169,133,74,1102,256,78,178,176,153,180,153,1255,243,14,82,611,50,412,50
"863",1106,"Trichilia hirta",1259263650,7.95,-77.65,"gass84,iddatunl",17014617,256,80,78,513,311,209,102,250,258,263,250,2562,360,29,54,950,124,489,810
"864",1107,"Trichilia hirta",1419351325,19.28194,-96.44028,"cdround,elmms,gass84",14664086,256,108,60,2290,340,161,179,272,229,279,222,1159,278,13,104,731,46,274,48
"865",1108,"Trichilia hirta",1259263072,16.98472,-89.6925,"gass84,iddatunl",15139448,254,81,58,1887,321,183,138,272,248,275,228,1449,211,38,51,543,133,516,188
"866",1109,"Trichilia hirta",1439044380,18.27194,-88.44861,"cdround,gass84",14871638,251,93,66,1539,318,178,140,264,246,266,230,1406,237,25,63,570,95,526,223
"867",1110,"Trichilia hirta",1259261783,17.08333,-89.13333,"gass84,iddatunl",15122181,251,90,63,1526,317,176,141,264,247,267,229,1361,206,34,46,485,146,309,256
"868",1111,"Trichilia hirta",1259880759,16.96777,-89.63888,"gass84",15139449,251,81,58,1889,317,179,138,269,245,271,225,1450,211,40,50,537,137,512,191
"869",1112,"Trichilia hirta",1421822260,17.75833,-91.775,"cdround,elmms,gass84",14975238,267,107,62,1990,354,182,172,276,265,288,239,2019,352,51,55,873,175,407,319
"870",1114,"Trichilia hirta",1439049194,18.11056,-96.14944,"cdround,elmms,gass84",14906013,253,98,56,2391,342,168,174,268,246,279,218,2351,513,35,92,1350,117,527,133
"871",1115,"Trichilia hirta",1421850776,18.54167,-96.775,"cdround,gass84,rdatm",14810958,244,117,61,2204,339,150,189,259,221,268,212,2758,543,53,84,1512,165,673,172
"872",1116,"Trichilia hirta",1419459415,18.53252,-96.74387,"cdround,rdatm",14819599,254,117,61,2227,351,160,191,268,230,278,221,2576,518,42,89,1460,133,629,133
"873",1117,"Trichilia hirta",1419364343,18.05,-95.61083,"cdround,gass84",14914666,260,103,56,2400,354,173,181,275,256,287,226,1370,266,22,79,723,71,281,113
"874",1118,"Trichilia hirta",1421854847,17.69167,-92.04167,"cdround,gass84",14992511,269,107,61,1939,357,183,174,277,267,290,242,2422,399,72,50,1027,252,627,403
"875",1120,"Trichilia hirta",1439048236,19.33278,-96.38278,"cdround,elmms,gass84",14655447,256,104,60,2299,336,164,172,273,229,279,222,1215,298,12,105,769,43,570,46
"876",1122,"Trichilia hirta",1228576692,10,-74.5,"gass84",16591333,275,119,80,501,350,202,148,272,272,280,268,1312,194,16,54,522,82,214,334
"877",1123,"Trichilia hirta",1439066297,19.30194,-103.01861,"cdround,elmms,gass84",14655288,240,144,65,1685,349,128,221,246,237,261,216,1110,246,4,104,696,18,234,39
"878",1124,"Trichilia hirta",1439055768,20.26694,-104.86722,"cdround,elmms,gass84",14456524,174,140,65,1871,278,64,214,190,162,195,148,1346,329,5,105,874,28,559,76
"879",1125,"Trichilia hirta",1418412956,18.91917,-99.17028,"cdround,elmms,gass84",14733140,210,148,71,1453,317,110,207,215,203,230,193,1038,221,4,105,639,18,296,29
"880",1126,"Trichilia hirta",1422282846,18.98528,-99.09972,"cdround,elmms,gass84",14724502,195,156,73,1328,301,90,211,201,187,213,178,965,203,5,104,591,18,273,26
"881",1127,"Trichilia hirta",1439039821,17.92667,-76.23556,"cdround,gass84",14941051,265,63,67,996,314,220,94,270,255,277,251,1760,293,49,46,692,208,434,225
"882",1128,"Trichilia hirta",1259828840,17.935,-76.201,"gass84",14941052,266,62,68,944,313,222,91,270,256,277,253,1715,291,48,47,681,204,419,219
"883",1129,"Trichilia hirta",1259262711,16.65222,-89.785,"gass84,iddatunl",15208566,249,81,59,1834,315,179,136,257,243,269,224,1699,225,42,49,639,150,585,245
"884",1130,"Trichilia hirta",1421817123,20.34167,-97.425,"cdround,gass84",14439422,242,105,54,3231,333,141,192,264,205,275,196,1335,238,45,53,536,138,469,166
"885",1131,"Trichilia hirta",1439033927,19.00167,-99.1925,"cdround,elmms,gass84",14715860,151,160,69,1725,259,29,230,164,126,170,126,1181,257,7,101,730,31,328,31
